Question,Answer
"Yes, do you provide any appliances such as air conditioner, washing machine, hair dryer, television, and electric kettle in the rooms","Yes, all of the rooms come with air conditioner, washing machine, hair dryer, television, and electric kettle We also provide free parking near the hotel Is there anything else I can help you with"
"No, thats all Thanks for your help",Youre welcome Let us know if you need any additional assistance We look forward to welcoming you to Lihao Hotel
Hi Id like to get some information about your hotel Can you tell me more about it,"Sure Lihao Hotel is located at 186 Zhuluo East Road, next to the fruit market and across from Futian Garden Our checkin time is 3 pm and checkout time is 12 pm We offer different types of room, from Comfort Standard Room to Diversified Smart Film Room All rooms come with air conditioner, washing machine, hair dryer, television and electric kettle Our breakfast is served from 930 am to 1030 am We have a gym and free WiFi  the password is the room number available for our guests Nearby the hotel, there are amenities like supermarket, cinema, and market Free parking is also available near the hotel"
That sounds great What is the price range of the rooms,"The room prices range from 108rmb to 400rmb Comfort Standard Room is 108rmb, Comfort Single Room is 108rmb, Business Duplex Standard Room is 108rmb, Business Duplex King Room is 108rmb, Executive Business Standard King Room is 128rmb, Fashionable Smart Standard Room is 158rmb, Fashionable Smart King Room is 158rmb, Leisure Duplex Chess Room is 200rmb, and Diversified Smart Film Room is 400rmb"
Perfect Do you accept credit card payments,"Yes, we accept all major forms of payments including Mastercard, Visa and American Express Also, for cash payments, we accept RMB"
"Hi, I would like to reserve a room","Hi, Welcome to Lihao Hotel Are you looking for a single or double room"
"Yes, I would like to book a double room","Great What type of room would you like We offer Comfort Standard Room, Comfort Single Room, Business Duplex Standard Room, Business Duplex King Room, Executive Business Standard King Room, Fashionable Smart Standard Room, Fashionable Smart King Room, Leisure Duplex Chess Room, Leisure Duplex Chess Room and Diversified Smart Film Room"
I will go with the Fashionable Smart King Room,Please note that this type of room comes with a rate of 158rmb Do you wish to proceed with the booking
"Yes, please go ahead with the booking",Wonderful Is the booking for tonight or a later date
"Yes, booking for tonight","Okay, please provide your name and contact information for the reservation"
"My name is John Smith, and my phone number is 8881112222","Okay, great Please note that checkin time for our hotel is 3pm, and checkout is 12pm We also offer breakfast from 930am to 1030am We have a gym and a supermarket, cinema, and market nearby Furthermore, WiFi is available with password as room number There is free parking available near the hotel We also provide air conditioner, washing machine, hair dryer, television, and electric kettle in the room"
"Great, that sounds perfect","Wonderful So the reservation for John Smith is complete If you have any further questions, do not hesitate to contact us Our front desk telephone number is 1234567789"
"Hi, I am looking to book a hotel room",Welcome to Lihao Hotel I am happy to help you What type of room are you looking for
I am interested in a Comfort Standard Room,"Ok, the Comfort Standard Rooms are 108rmb per night Checkin is at 300 pm, and check out is at 1200 pm"
What amenities do you offer,"All our rooms have air conditioning, a washing machine, hair dryer, television, and electric kettle We offer free WiFi, with the password being the room number We also have a gym for guests as well as a supermarket, cinema, and market in the vicinity"
Do you offer free parking near the hotel,Yes we do We have free parking near the hotel for guests
What about breakfast,We offer a complimentary breakfast from 930 am to 1030 am
Is there a front desk telephone number I can call to make the reservation,Yes there is Our front desk telephone number is 1234567789 Please feel free to call during normal business hours to make a reservation
That sounds great Thanks so much for the information,My pleasure I look forward to hearing from you Have a wonderful day
"Hello, Id like to make a reservation at the Lihao Hotel","Sure, how can I help"
I was wondering how much it would cost to stay in one of the hotel rooms,"Sure, the room rates at our Lihao Hotel are as follows Comfort Standard Room 108rmb, Comfort Single Room 108rmb, Business Duplex Standard Room 108rmb, Business Duplex King Room 108rmb, Executive Business Standard King Room 128rmb, Fashionable Smart Standard Room 158rmb, Fashionable Smart King Room 158rmb, Leisure Duplex Chess Room 200rmb, Leisure Duplex Chess Room 200rmb, Diversified Smart Film Rom 400rmb"
Are there any other amenities that I should be aware of,"Yes We have available a variety of amenities such as free parking near the hotel, a gym, WiFi with password being the room number, air conditioning, washing machine, hairdryer, television, electric kettle, and access to nearby amenities such as supermarket, cinema, and a market We also offer breakfast every morning from 930 am to 1030 am"
