Question,Answer,Question class
"Hi, Im interested in the Lihao Hotel and would like to know more about it","Hi there Welcome to Lihao Hotel We are located at 186 Zhuluo East Road, next to the fruit market and across from Futian Garden May I ask what youre looking for",4
"Im interested in the room types, amenities and services offered","Definitely, we offer a wide variety of room types depending on your budget, ranging from Comfort Standard Room for 108rmb to Diversified Smart Film Room for 400rmb To name a few of our amenities, we have free wifi with the password being the room number, air conditioner, washing machine, hair dryer, television and electric kettle in the rooms We also offer a gym, nearby supermarket, cinema and market, and free parking near the hotel Breakfast is available from 930am to 1030am and checkin time is at 300pm and checkout time is at 1200pm",1
That sounds great Could I speak to the front desk,"Absolutely, here is the telephone number to the front desk 1234567789 Is there anything else I can help you with",4
"Yes, could you please provide more details on the area and the type of transportation available","Of course Lihao Hotel is ideally located near attractions such as the fruit market and Futian Garden for easy access to shopping, entertainment and recreational activities As for transportation, you will be able to find bus and taxi services nearby the hotel for traveling within the city In case you need any assistance with bookings, the front desk would be more than happy to help  Is there anything else I can help you with",4
"Not at the moment, thank you Thats all the information I needed",Great We look forward to seeing you at Lihao Hotel Have a wonderful day,1
"Hi, I was wondering if you had any rooms available","Yes, we do have rooms available at the Lihao Hotel Our location is at 186 Zhuluo East Road, right next to the fruit market and across from Futian Garden Our checkin time is 300 pm and checkout time is 1200 pm Our front desk number is 1234567789",4
What types of rooms are available,"We have a variety of room types available We have Comfort Standard Room at 108RMB, Comfort Single Room at 108RMB, Business Duplex Standard Room at 108RMB, Business Duplex King Room at 108RMB, Executive Business Standard King Room at 128RMB, Fashionable Smart Standard Room at 158RMB, Fashionable Smart King Room at 158RMB, Leisure Duplex Chess Room at 200RMB and Diversified Smart Film Room at 400RMB",4
Do you provide breakfast and other amenities,"Yes, we do provide breakfast from 930 am to 1030 am, and our gym is available for guests to use We also offer free WiFi, with the password being the room number Nearby amenities include a supermarket, cinema, and market Furthermore, all rooms are furnished with air conditioning, washing machine, hair dryer, television, and electric kettle We also have free parking available near the hotel",4
Do you provide breakfast and other amenities,Hi there How can I help you,1
I need to book a room at the Lihao Hotel,"Sure What kind of room would you like to book We have Comfort Standard Room, Comfort Single Room, Business Duplex Standard Room, Business Duplex King Room, Executive Business Standard King Room, Fashionable Smart Standard Room, Fashionable Smart King Room, Leisure Duplex Chess Room, Leisure Duplex Chess Room, and Diversified Smart Film Room",1
"Id like to book the Comfort Standard Room, please","Alright Thats 108rmb per night Checkin is at 300 pm and checkout is at 1200pm Our hotel provides free wifi with the password being the room number There is also a gym available for our guests We have air conditioning, television, electric kettles, washing machines, and hair dryers in all our rooms Breakfast is served every morning from 930 am to 1030 am We also have free parking near the hotel Is there anything else I can help you with",1
"Yes, I wanted to know which amenities are nearby the hotel","Of course Our hotel is located next to the fruit market and across from Futian Garden There is a supermarket, cinema and market in the vicinity",1
That sounds great I think Ill book the Comfort Standard Room Could you please provide me with the contact details,Sure thing Our Front Desk telephone number is 1234567789 Please do not hesitate to contact us if you have any further queries,1
"Hello, Id like to book a room in your hotel","Hello there, welcome to Lihao Hotel We are located at 186 Zhuluo East Road, next to the fruit market and across from Futian Garden What type of room would you like We have Comfort Standard Room, Comfort Single Room, Business Duplex Standard Room, Business Duplex King Room, Executive Business Standard King Room, Fashionable Smart Standard Room, Fashionable Smart King Room, Leisure Duplex Chess Room, Diversified Smart Film Room and so on They are all fairly priced and can suit your needs",1
Well Im interested in the Comfort Standard Room Whats the rate,"We have Comfort Standard Room at 108rmb Do you need any additional amenities or services We provide breakfast from 930 am to 1030 am, a gym, WiFi with the password being the room number, air conditioning, a washing machine, a hairdryer, a television, an electric kettle and free parking near the hotel",4
"Yes, I would like if I could get the WiFi password, the air conditioner, washing machine and a hair dryer",Great We can provide all these amenities in the Comfort Standard Room The WiFi password will be the same as your room number Please be aware that our checkin time is 300 pm and checkout is 1200 pm Is there anything else I can help you with,1
"No, thats all Id like to book the room now","Certainly In order to book the room, I just need to get some personal information from you such as your full name, phone number and address Are you able to provide those details now",4
"Yes, thats not a problem","Great Once I have those details, I will process your booking and provide you with a confirmation code If you have any problems or questions, please give us a call at 1234567789 Thank you for choosing to stay at Lihao Hotel and we look forward to seeing you",1
